"Metabolite","type","Estimate_Age","p_value_Age","Estimate_Sex","p_value_Sex","Estimate_Metabolite","Std_Error_Metabolite","df_Metabolite","p_value_Metabolite","Singular_fit_Metabolite","FDR_Metabolite","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.50","TG",-0.1033,0.8426,-17.7669,0.1088,-0.1525,0.0846,76,0.07533,"TRUE",0.9457531,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","LDL",-0.2557,0.2385,-4.1478,0.3644,-0.0118,0.0351,76,0.7378,"TRUE",0.9759918,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","HDL",0.0023,0.977,2.6913,0.1196,0.0084,0.0132,76,0.5281,"TRUE",0.9759918,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","CRP",0.0032,0.8776,-0.2873,0.5077,-0.0028,0.0033,75,0.4091,"TRUE",0.9457531,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","ApoB",-0.1119,0.4949,-3.9616,0.2572,-0.0175,0.0224,58.74,0.4377,"FALSE",0.9457531,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","HDL_LDL",7e-04,0.5211,0.037,0.1002,2e-04,2e-04,66.67,0.2957,"FALSE",0.9457531,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.50","Chol_T_HDL",-0.0044,0.5216,-0.3059,0.03917,-5e-04,0.0011,66.5,0.6502,"FALSE",0.9759918,"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.51","SBP",0.0518,0.6921,-2.6298,0.343,0.0245,0.0226,61,0.2816,"TRUE",0.9457531,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","DBP",-0.0191,0.8107,-0.6968,0.6795,0.0077,0.0138,61,0.5776,"TRUE",0.9759918,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","Insulin",-0.0182,0.7767,-0.4961,0.7151,-0.0055,0.01,75,0.5799,"TRUE",0.9759918,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","Chol_T",-0.2543,0.3466,-5.239,0.3596,-0.0957,0.038,75.15,0.01406,"FALSE",0.7843652,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","TG",-0.1864,0.7212,-15.934,0.1514,-0.1005,0.0813,76,0.2199,"TRUE",0.9457531,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","LDL",-0.2237,0.2868,-4.3604,0.3256,-0.0643,0.0326,76,0.0521,"TRUE",0.9337687,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","HDL",0.0203,0.8048,2.467,0.1602,-0.0143,0.0125,75.87,0.2548,"FALSE",0.9457531,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","CRP",0,0.9982,-0.2403,0.5785,5e-04,0.0032,75,0.874,"TRUE",0.9922331,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","ApoB",-0.0966,0.5437,-3.9181,0.248,-0.0439,0.0219,73.92,0.04801,"FALSE",0.9337687,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","HDL_LDL",8e-04,0.4532,0.0347,0.1236,1e-04,2e-04,75.86,0.598,"FALSE",0.9759918,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.51","Chol_T_HDL",-0.0044,0.5144,-0.3021,0.04037,-7e-04,0.001,75.87,0.5296,"FALSE",0.9759918,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.52","SBP",0.0149,0.9122,-1.9201,0.5032,0.0282,0.0247,61,0.2576,"TRUE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","DBP",-0.0241,0.7704,-0.6294,0.7195,0.0039,0.0151,61,0.7972,"TRUE",0.9851732,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","Insulin",-0.0375,0.5666,-0.1009,0.9424,0.0122,0.0119,75,0.311,"TRUE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","Chol_T",-0.3374,0.2392,-4.208,0.491,0.0138,0.0473,75.83,0.7712,"FALSE",0.9799873,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","TG",-0.3865,0.4689,-11.856,0.3023,0.1096,0.0968,76,0.261,"TRUE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","LDL",-0.2739,0.2124,-3.7887,0.421,0.0054,0.0397,76,0.893,"TRUE",0.9955923,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","HDL",0.011,0.8947,2.5469,0.1582,-3e-04,0.015,74.99,0.9842,"FALSE",0.9996524,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","CRP",0.0019,0.9292,-0.2776,0.5345,-0.0012,0.0038,75,0.7635,"TRUE",0.979145,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","ApoB",-0.132,0.4313,-3.6186,0.3142,0.0021,0.0269,73.48,0.9369,"FALSE",0.9996524,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","HDL_LDL",9e-04,0.4086,0.0331,0.1575,0,2e-04,75.5,0.8492,"FALSE",0.9870702,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.52","Chol_T_HDL",-0.0049,0.4812,-0.2973,0.05159,0,0.0012,75.52,0.9854,"FALSE",0.9996524,"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
"M.53","SBP",0.0542,0.6815,-2.6739,0.3484,-0.0058,0.0254,61,0.8191,"TRUE",0.9851732,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","DBP",-0.022,0.7827,-1.0007,0.5599,0.0112,0.0153,61,0.4683,"TRUE",0.9457531,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","Insulin",-0.0183,0.7763,-0.3265,0.8154,-0.005,0.0122,75,0.6801,"TRUE",0.9759918,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","Chol_T",-0.3071,0.2792,-4.0933,0.501,-0.0219,0.047,73.02,0.6427,"FALSE",0.9759918,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","TG",-0.23,0.6631,-14.3589,0.2099,-0.0376,0.0984,76,0.7036,"TRUE",0.9759918,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","LDL",-0.2714,0.2089,-4.1072,0.3772,0.006,0.04,76,0.882,"TRUE",0.9941499,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","HDL",0.022,0.7841,2.9872,0.0879,-0.0171,0.015,76,0.2555,"TRUE",0.9457531,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","CRP",1e-04,0.9948,-0.253,0.5695,4e-04,0.0039,75,0.9266,"TRUE",0.9996524,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","ApoB",-0.1313,0.4283,-3.7535,0.2956,0.0027,0.0268,69.04,0.9206,"FALSE",0.9996524,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","HDL_LDL",0.001,0.3225,0.0408,0.07144,-3e-04,2e-04,76,0.1713,"FALSE",0.9457531,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.53","Chol_T_HDL",-0.0051,0.4549,-0.3064,0.0419,3e-04,0.0012,75.91,0.7882,"FALSE",0.9851113,"C114 - 1.301","",146,1.301,1.329167,303.648,304.1494
"M.54","SBP",0.0367,0.7677,-1.9059,0.4711,0.0625,0.0222,61,0.006496,"TRUE",0.5307829,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","DBP",-0.027,0.724,-0.2878,0.8596,0.0323,0.0137,61,0.02144,"TRUE",0.9337687,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","Insulin",-0.0283,0.6593,-0.3959,0.7706,0.0086,0.0112,75,0.4434,"TRUE",0.9457531,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","Chol_T",-0.3194,0.2601,-4.6576,0.4351,-0.0022,0.0433,64.79,0.9602,"FALSE",0.9996524,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","TG",-0.2437,0.6451,-15.4098,0.1696,-0.0149,0.0924,76,0.8722,"TRUE",0.9922331,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","LDL",-0.2589,0.2308,-4.0388,0.3743,-0.0114,0.0376,76,0.7621,"TRUE",0.9790008,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","HDL",9e-04,0.9908,2.6484,0.1286,0.0129,0.0141,71.46,0.3643,"FALSE",0.9457531,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","CRP",5e-04,0.9804,-0.2444,0.5725,-1e-04,0.0036,75,0.9673,"TRUE",0.9996524,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","ApoB",-0.13,0.4313,-3.6749,0.2952,9e-04,0.0243,62.41,0.9699,"FALSE",0.9996524,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","HDL_LDL",8e-04,0.4733,0.0351,0.1231,1e-04,2e-04,70.11,0.5256,"FALSE",0.9759918,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.54","Chol_T_HDL",-0.0034,0.6091,-0.3119,0.0324,-0.0019,0.0011,70.55,0.0962,"FALSE",0.9457531,"9Z-Heneicosene","",162,1.63,1.719,312.3631,313.366
"M.55","SBP",0.0555,0.6742,-2.9109,0.2999,-0.0091,0.0239,61,0.7041,"TRUE",0.9759918,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","DBP",-0.0149,0.8513,-0.895,0.5959,-0.0122,0.0144,61,0.3995,"TRUE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","Insulin",-0.0222,0.7268,-0.3031,0.8239,0.0115,0.0121,75,0.3446,"TRUE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","Chol_T",-0.3204,0.2592,-4.2034,0.487,0.0281,0.0469,72.52,0.5514,"FALSE",0.9759918,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","TG",-0.2591,0.6203,-16.4078,0.1458,-0.0699,0.0981,76,0.4788,"TRUE",0.9482254,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","LDL",-0.2668,0.2131,-3.7737,0.4101,0.0116,0.04,76,0.7728,"TRUE",0.9802088,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","HDL",0.0119,0.8822,2.8945,0.09775,0.0214,0.0149,75.99,0.1553,"FALSE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","CRP",4e-04,0.9839,-0.2562,0.5562,-9e-04,0.0039,75,0.8105,"TRUE",0.9851732,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","ApoB",-0.1287,0.4255,-4.2291,0.2239,-0.0386,0.0265,70.12,0.1503,"FALSE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","HDL_LDL",9e-04,0.4084,0.0383,0.09207,3e-04,2e-04,75.83,0.1811,"FALSE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.55","Chol_T_HDL",-0.005,0.4595,-0.3234,0.02908,-0.0016,0.0012,75.87,0.1956,"FALSE",0.9457531,"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))","",131,8.942,8.918716,983.8039,985.8162
"M.56","SBP",0.0725,0.5794,-1.8957,0.5016,0.0393,0.0278,61,0.1632,"TRUE",0.9457531,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","DBP",-0.0138,0.8631,-0.522,0.7627,0.0099,0.0171,61,0.5633,"TRUE",0.9759918,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","Insulin",-0.018,0.7804,-0.3473,0.8011,0.0067,0.0138,75,0.629,"TRUE",0.9759918,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","Chol_T",-0.2692,0.344,-3.0903,0.6096,0.0933,0.0531,73.28,0.083,"FALSE",0.9457531,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","TG",-0.2665,0.6142,-15.6335,0.1687,-0.0199,0.1129,76,0.8606,"TRUE",0.9897291,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","LDL",-0.2344,0.2769,-3.0169,0.5101,0.0567,0.0455,75.78,0.2168,"FALSE",0.9457531,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","HDL",0.0292,0.7196,3.0926,0.08092,0.0322,0.0169,76,0.06131,"FALSE",0.9457531,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","CRP",5e-04,0.9814,-0.241,0.5828,1e-04,0.0044,75,0.9762,"TRUE",0.9996524,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","ApoB",-0.1133,0.4957,-3.2015,0.3692,0.0273,0.0305,71.31,0.3731,"FALSE",0.9457531,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","HDL_LDL",9e-04,0.3977,0.0355,0.1203,1e-04,2e-04,75.98,0.7184,"FALSE",0.9759918,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.56","Chol_T_HDL",-0.0055,0.4228,-0.315,0.03519,-0.001,0.0014,75.99,0.4755,"FALSE",0.9469072,"C123 - 5.198","",26,5.198,5.310517,762.5448,763.5478
"M.57","SBP",0.055,0.6758,-2.7018,0.332,0.0182,0.0235,61,0.442,"TRUE",0.9457531,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","DBP",-0.0193,0.8096,-0.7693,0.6489,-0.0032,0.0143,61,0.8257,"TRUE",0.9851732,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","Insulin",-0.0056,0.9277,-0.2625,0.8417,0.0255,0.0107,75,0.02003,"TRUE",0.9337687,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","Chol_T",-0.2876,0.302,-4.1804,0.4768,0.0427,0.0417,66.74,0.3104,"FALSE",0.9457531,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","TG",-0.1027,0.8405,-13.1469,0.2252,0.2019,0.0859,76,0.02138,"TRUE",0.9337687,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","LDL",-0.2603,0.228,-3.8559,0.3972,0.0095,0.0362,76,0.7941,"TRUE",0.9851732,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","HDL",0.0099,0.9036,2.545,0.1448,-0.001,0.0136,73.13,0.9396,"FALSE",0.9996524,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","CRP",0.0037,0.8553,-0.2033,0.634,0.0051,0.0035,75,0.1482,"TRUE",0.9457531,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","ApoB",-0.1255,0.4447,-3.6398,0.2979,0.0054,0.024,61,0.8239,"FALSE",0.9851732,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","HDL_LDL",9e-04,0.4151,0.0345,0.1295,0,2e-04,71.82,0.8923,"FALSE",0.9955923,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.57","Chol_T_HDL",-0.0042,0.5371,-0.2889,0.05151,9e-04,0.0011,71.6,0.442,"FALSE",0.9457531,"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)","",48,6.508,6.571317,719.5599,721.5672
"M.58","SBP",0.0542,0.6828,-2.8022,0.3163,-0.0035,0.0296,61,0.9052,"TRUE",0.9988104,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","DBP",-0.0157,0.845,-0.7482,0.6572,-0.0069,0.0179,61,0.7034,"TRUE",0.9759918,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","Insulin",-0.0191,0.7656,-0.4591,0.7353,-0.0074,0.0143,75,0.607,"TRUE",0.9759918,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","Chol_T",-0.3712,0.2212,-4.6855,0.4636,0.1232,0.0547,72.57,0.02741,"FALSE",0.9337687,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","TG",-0.2117,0.6851,-15.3938,0.1662,-0.1235,0.1154,76,0.2882,"TRUE",0.9457531,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","LDL",-0.3007,0.1875,-3.9634,0.4078,0.0836,0.0469,75.49,0.0789,"FALSE",0.9457531,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","HDL",6e-04,0.9946,2.5759,0.1415,0.0283,0.0176,74.8,0.1119,"FALSE",0.9457531,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","CRP",-5e-04,0.9818,-0.2445,0.5711,0.0022,0.0045,75,0.6358,"TRUE",0.9759918,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","ApoB",-0.1558,0.3759,-3.7305,0.319,0.0597,0.0315,70.66,0.06191,"FALSE",0.9457531,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","HDL_LDL",9e-04,0.4111,0.0342,0.1351,-1e-04,2e-04,74.97,0.7185,"FALSE",0.9759918,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.58","Chol_T_HDL",-0.0047,0.4912,-0.2984,0.04274,-6e-04,0.0015,74.57,0.6882,"FALSE",0.9759918,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside","402593-52-6",112,2.169,2.158617,367.1952,368.1982
"M.59","SBP",0.0355,0.7923,-3.0964,0.2753,0.0131,0.0229,61,0.569,"TRUE",0.9759918,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","DBP",-0.013,0.8741,-0.6511,0.7042,-0.0045,0.0139,61,0.747,"TRUE",0.976862,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","Insulin",-0.0389,0.5503,-0.7087,0.6036,0.0124,0.0106,75,0.2446,"TRUE",0.9457531,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","Chol_T",-0.3118,0.2776,-4.4981,0.455,-0.0066,0.0415,71.49,0.8739,"FALSE",0.9922331,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","TG",-0.2975,0.5808,-15.9461,0.1601,0.0301,0.0871,76,0.7308,"TRUE",0.9759918,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","LDL",-0.2382,0.2778,-3.5156,0.4438,-0.0207,0.0354,76,0.5611,"TRUE",0.9759918,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","HDL",0.0061,0.9413,2.4869,0.1533,0.0032,0.0134,76,0.8093,"TRUE",0.9851732,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","CRP",-0.0045,0.8276,-0.3148,0.4686,0.0036,0.0034,75,0.2863,"TRUE",0.9457531,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","ApoB",-0.1331,0.4263,-3.7396,0.2912,0.0028,0.0235,68.12,0.9043,"FALSE",0.9983404,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","HDL_LDL",6e-04,0.5742,0.0302,0.1699,2e-04,2e-04,76,0.2814,"TRUE",0.9457531,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.59","Chol_T_HDL",-0.004,0.5598,-0.2848,0.05326,-6e-04,0.0011,75.5,0.5785,"FALSE",0.9759918,"TG(18:2(9Z,12Z)/20:2n6/20:2n6)","",105,8.819,8.910417,943.7727,945.7829
"M.6","SBP",0.0593,0.6512,-2.4111,0.3886,-0.0309,0.0302,61,0.311,"TRUE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","DBP",-0.0129,0.8691,-0.404,0.8092,-0.0273,0.0181,61,0.137,"TRUE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","Insulin",-0.021,0.742,-0.5416,0.6922,0.0072,0.0147,75,0.6281,"TRUE",0.9759918,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","Chol_T",-0.3095,0.2548,-5.4322,0.3481,0.0727,0.0574,71.05,0.2095,"FALSE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","TG",-0.2541,0.6282,-15.3732,0.1731,0.0062,0.1214,76,0.9595,"TRUE",0.9996524,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","LDL",-0.2584,0.2216,-4.7645,0.2915,0.0713,0.0487,76,0.1471,"TRUE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","HDL",0.0123,0.8802,2.4018,0.1727,0.0137,0.0185,74.56,0.4615,"FALSE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","CRP",-7e-04,0.9708,-0.1563,0.7141,-0.008,0.0046,75,0.0879,"TRUE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","ApoB",-0.1243,0.4438,-4.0218,0.2488,0.0326,0.0322,68.14,0.3148,"FALSE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
"M.6","HDL_LDL",8e-04,0.4248,0.0372,0.08979,-3e-04,2e-04,76,0.2522,"TRUE",0.9457531,"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",150,7.466922,7.57495,843.6493,845.6559
